Row_ID,CPSE_Name,Material_Code_CPSE,Material_Description_Raw,Specification_Raw,Unit_Of_Measurement,Existing_Classification_Code,Plant_Location,Annual_Procured_Qty,Avg_Unit_Price_INR,Vendor_Name,GroundTruth_Material_Cluster_ID,GroundTruth_Standard_Material_Name,GroundTruth_Common_National_Material_Code
1,IOCL,IOC-455007,NITRILE RUBBER O-RING 50X3MM (O-RING NBR 50X3MM),O-RING NBR 50X3MM,PCS,CLS-6383,Haldia Refinery,359,29.87,Vendor-182,CLU-0023,Nitrile Rubber O-Ring 50x3mm,NMC-100023
2,IOCL,IOC-405420,CENTRIFUGAL PUMP IMPELLER CF8M 250MM DIA - 250MM CF8M IMPELLER,250MM CF8M IMPELLER,NOS,CLS-7825,Gujarat Refinery,5,18451.76,Vendor-346,CLU-0036,Centrifugal Pump Impeller CF8M 250mm Dia,NMC-100036
3,HPCL,HPC-482746,ZEOLITE MOLECULAR SIEVE 4A ADSORBENT,-,KGS,CLS-3947,Visakh Refinery,37,279.92,Vendor-658,CLU-0069,Zeolite Molecular Sieve 4A Adsorbent,NMC-100069
4,IOCL,IOC-250219,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD - 51MM OD SA-210-C SEAMLESS TUBE,51MM OD SA-210-C SEAMLESS TUBE,MTRS,CLS-5508,Haldia Refinery,271,1253.67,Vendor-407,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
5,NTPC,NTPC-535810,GREASE LITHIUM COMPLEX EP2 180KG DRUM - EP2 LITHIUM GREASE 180KG,EP2 LITHIUM GREASE 180KG,KGS,CLS-3353,Ramagundam STPS,242,190.8,Vendor-721,CLU-0042,Grease Lithium Complex EP2 180kg Drum,NMC-100042
6,NTPC,NTPC-817675,TRAN BUSH OIL FILL TRANSFORMER BUSHING 33KV OIL TYPE,TRANSFORMER BUSHING 33KV OIL TYPE,EA,CLS-1539,Ramagundam STPS,465,99733.38,Vendor-773,CLU-0054,Transformer Bushing Oil Filled 33kV,NMC-100054
7,SAIL,SAIL-815198,PG 0-100BAR 100MM SS CASE PRESSURE GAUGE 0-100 BAR SS CASE 100MM,PG 0-100BAR 100MM SS CASE,NOS,CLS-7658,Bhilai Steel Plant,346,1077.54,Vendor-898,CLU-0009,Pressure Gauge 0-100 Bar SS Case 100mm,NMC-100009
8,NTPC,NTPC-478120,CENT PUMP IMPE CF8M IMPELLER CF8M DIA 250 MM CENTRIFUGAL PUMP,IMPELLER CF8M DIA 250 MM CENTRIFUGAL PUMP,EACH,CLS-9316,Vindhyachal STPS,493,16943.01,Vendor-619,CLU-0036,Centrifugal Pump Impeller CF8M 250mm Dia,NMC-100036
9,BPCL,BPC-878967,FIRE EXTINGUISHER CO2 TYPE 4.5 KG CAP FIRE EXTINGUISHER CO2 TYPE 4.5KG,FIRE EXTINGUISHER CO2 TYPE 4.5 KG CAP,EA,CLS-5530,Mumbai Refinery,103,3149.15,Vendor-595,CLU-0017,Fire Extinguisher CO2 Type 4.5kg,NMC-100017
10,ONGC,ONG-349565,HEX HEAD BOLT SS304 16MM DIA X 60MM SS304 BOLT,16MM DIA X 60MM SS304 BOLT,EACH,CLS-3167,Ankleshwar Asset,347,68.54,Vendor-652,CLU-0005,Hex Head Bolt SS304 M16x60,NMC-100005
11,CPCL,CPCL-649787,LADLE REFRACTORY LINING BRICK MGO-C (LADLE LINING BRICK MAGNESIA CARBON),LADLE LINING BRICK MAGNESIA CARBON,EACH,CLS-9261,Cauvery Basin Refinery,460,863.14,Vendor-971,CLU-0046,Ladle Refractory Lining Brick MgO-C,NMC-100046
12,SAIL,SAIL-736553,DEWATERING PUMP SUBMERSIBLE 5HP SUBMERSIBLE DEWATERING PUMP 5HP,DEWATERING PUMP SUBMERSIBLE 5HP,NOS,CLS-5106,Rourkela Steel Plant,117,47281.63,Vendor-735,CLU-0024,Submersible Dewatering Pump 5HP,NMC-100024
13,SAIL,SAIL-198246,"SPIR WOUND GASK SS316 4"" #150 SS-316","4"" #150 SS-316",EA,CLS-4257,Bhilai Steel Plant,124,529.02,Vendor-127,CLU-0001,Spiral Wound Gasket SS316 4 Inch Class 150,NMC-100001
14,CPCL,CPCL-240814,A63 V-BELT V-BELT A SECTION 63 INCH,A63 V-BELT,EA,CLS-3546,Cauvery Basin Refinery,64,461.4,Vendor-860,CLU-0008,V-Belt A Section 63 Inch,NMC-100008
15,IOCL,IOC-679364,PG 0-100BAR 100MM SS CASE PRESSURE GAUGE 0-100 BAR SS CASE 100MM,PG 0-100BAR 100MM SS CASE,EACH,CLS-6974,Panipat Refinery,225,1144.1,Vendor-415,CLU-0009,Pressure Gauge 0-100 Bar SS Case 100mm,NMC-100009
16,SAIL,SAIL-358568,BLAST FURNACE REFRACTORY BRICK ALUMINA 65%,-,PCS,CLS-4203,Bokaro Steel Plant,41,323.53,Vendor-731,CLU-0064,Blast Furnace Refractory Brick Alumina 65%,NMC-100064
17,IOCL,IOC-285751,BLIND FLANGE CARBON STEEL 8 INCH CLASS 150 - 8 INCH CLASS 150 CARBON STEEL BLIND FLANGE,8 INCH CLASS 150 CARBON STEEL BLIND FLANGE,EA,CLS-8354,Haldia Refinery,257,3123.84,Vendor-677,CLU-0031,Blind Flange Carbon Steel 8 Inch Class 150,NMC-100031
18,ONGC,ONG-328552,MOTOR BEAR NU 220 NU 220 ROLLER BRG,NU 220 ROLLER BRG,EACH,CLS-3749,Ankleshwar Asset,363,3909.34,Vendor-477,CLU-0015,Motor Bearing NU 220 Cylindrical Roller,NMC-100015
19,HPCL,HPC-591081,20MM X 80MM SS316 NUT BOLT INDUSTRIAL GRADE NUT BOLT SET M20X80 SS316,20MM X 80MM SS316 NUT BOLT,SET,CLS-7511,Visakh Refinery,77,245.91,Vendor-331,CLU-0025,Industrial Grade Nut Bolt Set M20x80 SS316,NMC-100025
20,CIL,CIL-938742,PRESSURE GAUGE 0-100 BAR SS CASE 100MM - PRESSURE GAUGE 100MM 0 TO 100 BAR SS,PRESSURE GAUGE 100MM 0 TO 100 BAR SS,NOS,CLS-6442,SECL Bilaspur,456,1913.19,Vendor-283,CLU-0009,Pressure Gauge 0-100 Bar SS Case 100mm,NMC-100009
21,BPCL,BPC-956253,"BUTTERFLY VALVE CAST IRON 8 INCH WAFER TYPE - 8"" BUTTERFLY VALVE CI WAFER","8"" BUTTERFLY VALVE CI WAFER",NOS,CLS-4728,Kochi Refinery,184,10272.67,Vendor-914,CLU-0010,Butterfly Valve Cast Iron 8 Inch Wafer Type,NMC-100010
22,NTPC,NTPC-139434,STUDDED BOLT WITH 2 NUTS B7 M24X180 (24MM X 180MM B7 STUD SET),24MM X 180MM B7 STUD SET,SETS,CLS-2479,Vindhyachal STPS,193,615.85,Vendor-178,CLU-0032,Studded Bolt with 2 Nuts B7 M24x180,NMC-100032
23,NTPC,NTPC-812711,TITANIUM HEAT EXCHANGER TUBE 25MM OD,-,NOS,CLS-5839,Korba STPS,43,8800.73,Vendor-890,CLU-0056,Titanium Heat Exchanger Tube 25mm OD,NMC-100056
24,SAIL,SAIL-417530,STUDDED BOLT WITH 2 NUTS B7 M24X180 (STUDDED BOLT ASTM A193 B7 M24-180),STUDDED BOLT ASTM A193 B7 M24-180,ST,CLS-2215,Rourkela Steel Plant,307,228.09,Vendor-619,CLU-0032,Studded Bolt with 2 Nuts B7 M24x180,NMC-100032
25,NTPC,NTPC-399449,"PRESSURE SAFETY VALVE 2X3 INCH SET 10 BAR - 2""X3"" PSV SET PRESSURE 10 BAR","2""X3"" PSV SET PRESSURE 10 BAR",EACH,CLS-3009,Korba STPS,474,54949.27,Vendor-304,CLU-0040,Pressure Safety Valve 2x3 Inch Set 10 Bar,NMC-100040
26,HPCL,HPC-667296,O-RING NITRILE 50 X 3 MM NITRILE RUBBER O-RING 50X3MM,O-RING NITRILE 50 X 3 MM,NO,CLS-5708,Visakh Refinery,321,13.42,Vendor-746,CLU-0023,Nitrile Rubber O-Ring 50x3mm,NMC-100023
27,HPCL,HPC-965845,CHAIN LINK FENCING GI 6FT HEIGHT (FENCING CHAIN LINK GI 6' HEIGHT),FENCING CHAIN LINK GI 6' HEIGHT,MET,CLS-2419,Mumbai Refinery,170,409.96,Vendor-950,CLU-0016,Chain Link Fencing GI 6ft Height,NMC-100016
28,HPCL,HPC-234913,10 MM MESH SCREEN STEEL WIRE STEEL WIRE MESH SCREEN 10MM APERTURE,10 MM MESH SCREEN STEEL WIRE,MTR,CLS-6990,Visakh Refinery,206,2058.36,Vendor-447,CLU-0043,Steel Wire Mesh Screen 10mm Aperture,NMC-100043
29,ONGC,ONG-678856,BALL VALVE CARBON STEEL 2 INCH CLASS 300 (2IN 300# CS RF),2IN 300# CS RF,EA,CLS-6925,Ankleshwar Asset,429,18686.88,Vendor-982,CLU-0002,Ball Valve Carbon Steel 2 Inch Class 300,NMC-100002
30,CPCL,CPCL-199096,STUD BOLT WITH 2 24MM X 180MM B7 STUD SET,24MM X 180MM B7 STUD SET,SETS,CLS-3463,Cauvery Basin Refinery,150,326.0,Vendor-972,CLU-0032,Studded Bolt with 2 Nuts B7 M24x180,NMC-100032
31,BPCL,BPC-163780,PLUG VALVE PTFE LINED 3 INCH (DN80 PTFE LINED PLUG VALVE),DN80 PTFE LINED PLUG VALVE,EA,CLS-2768,Kochi Refinery,438,21237.2,Vendor-802,CLU-0028,Plug Valve PTFE Lined 3 Inch,NMC-100028
32,BPCL,BPC-999197,BOILER TUBE SEAMLESS SA210 GRADE C 51MM OD - BOILER TUBE SEAMLESS SA 210 GR C OD51MM,BOILER TUBE SEAMLESS SA 210 GR C OD51MM,MTRS,CLS-7761,Mumbai Refinery,417,1640.84,Vendor-159,CLU-0050,Boiler Tube Seamless SA210 Grade C 51mm OD,NMC-100050
33,ONGC,ONG-170499,TEMP TRAN RTD PT100 PT100 RTD TEMP TRANSMITTER HEAD MOUNT,PT100 RTD TEMP TRANSMITTER HEAD MOUNT,NOS,CLS-7272,Mumbai High Offshore,403,11451.63,Vendor-470,CLU-0039,Temperature Transmitter RTD PT100 Head Mount,NMC-100039
